TIME,LATITUDE,LONGITUDE,TYPE,NR-TAC,NR-PCI,NR-CI,NR-ARFCN,CSI-RSRP,CSI-RSRQ,CSI-SINR,SS-RSRP,SS-RSRQ,SS-SINR,TAC,PCI,ECI,EARFCN,BAND_WIDTH,RSSI,RSRP,RSRQ,SINR,CQI,LAC,CI,RXLEV,ARFCN,BSIC,PSC,UARFCN,NID,BID,SID,CDMADBM,CDMAECIO,EVDODBM,EVDOECIO,EVDOSNR
20230113 17:41:31.261,31.022992,121.434095,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:31.469,31.022992,121.434095,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-86,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:32.279,31.022991,121.434095,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-86,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:33.271,31.02299,121.434096,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-86,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:33.628,31.02299,121.434096,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-86,-11,19.2,,,,,,,,,,,,,,,,
20230113 17:41:34.281,31.02299,121.434104,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-86,-11,19.2,,,,,,,,,,,,,,,,
20230113 17:41:34.831,31.02299,121.434104,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-81,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:35.275,31.022992,121.434115,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-81,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:35.794,31.022992,121.434115,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-89,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:36.283,31.022994,121.43413,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-89,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:37.265,31.022997,121.434149,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-89,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:38.092,31.022997,121.434149,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-85,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:38.276,31.023002,121.434173,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-85,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:39.257,31.023008,121.434199,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-85,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:40.268,31.023008,121.434199,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-85,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:40.321,31.023016,121.434227,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-85,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:40.349,31.023016,121.434227,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:41.266,31.023025,121.434252,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:42.276,31.023034,121.434277,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:42.483,31.023034,121.434277,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:43.298,31.023041,121.434303,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:44.269,31.023048,121.43433,LTE,,,,,,,,,,,6234,425,142694609,1300,10000,,-87,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:44.638,31.023048,121.43433,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-87,-11,19.2,,,,,,,,,,,,,,,,
20230113 17:41:45.255,31.023057,121.434358,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-87,-11,19.2,,,,,,,,,,,,,,,,
20230113 17:41:46.283,31.023065,121.43438,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-87,-11,19.2,,,,,,,,,,,,,,,,
20230113 17:41:46.851,31.023065,121.43438,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-84,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:47.290,31.023075,121.434407,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-84,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:48.293,31.023084,121.434434,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-84,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:49.185,31.023084,121.434434,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-83,-7,19.2,,,,,,,,,,,,,,,,
20230113 17:41:49.276,31.023094,121.434461,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-83,-7,19.2,,,,,,,,,,,,,,,,
20230113 17:41:50.285,31.023106,121.434486,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-83,-7,19.2,,,,,,,,,,,,,,,,
20230113 17:41:51.116,31.023106,121.434486,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-82,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:51.256,31.023121,121.434509,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-82,-13,19.2,,,,,,,,,,,,,,,,
20230113 17:41:51.345,31.023121,121.434509,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-78,-7,19.2,,,,,,,,,,,,,,,,
20230113 17:41:52.275,31.023136,121.434531,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-78,-7,19.2,,,,,,,,,,,,,,,,
20230113 17:41:52.640,31.023136,121.434531,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-78,-7,19.2,,,,,,,,,,,,,,,,
20230113 17:41:52.857,31.023136,121.434531,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-76,-12,19.2,,,,,,,,,,,,,,,,
20230113 17:41:53.259,31.023157,121.434545,LTE,,,,,,,,,,,6234,410,217313361,1300,10000,,-76,-12,19.2,,,,,,,,,,,,,,,,
